abovementioned	ดังกล่าวข้างต้น
abstention	การงดออกเสียง
according to law	ตามกฎหมาย
advanced technologies	เทคโนโลยีสมัยใหม่
agenda	ระเบียบวาระการประชุม
testosterone	ฮอร์โมนเพศชาย
Asia	เอเชีย
Asia	เอเชีย
Asian	อาเชี่ยน
Asian	อาเชี่ยน
assure	เป็นหลักประกัน
at other times	แต่บางที
at some point	ในบางกรณี
authority and function	อำนาจหน้าที่
automatic transmission car	รถยนต์เกียร์อัตโนมัติ
bad faith	เจตนาไม่บริสุทธิ์
bar code	บาร์โค้ด
biotechnology	ไบโอเทคโนโลยี
branch office	สาขาสำนักงาน
Buddhist principles	หลักพระพุทธศาสนา
case of necessity	กรณีจำเป็น
confession	คำรับสารภาพ
draft contract	ร่างสัญญา
E-Commerce	อี-คอมเมิร์ช
fill teeth	อุดฟัน
final judgment	คำพิพากษาถึงที่สุด
for the benefit of	เพื่อประโยชน์ของ
forfeiture of property	ริบทรัพย์สิน
fundamental rights and freedoms	สิทธิและเสรีภาพขั้นพื้นฐาน
globalization	โลกาภิวัตน์
guard the rights	คุ้มครองสิทธิ์
honest intention	เจตนาบริสุทธิ์
individual	รายบุคคล
international	ระหว่างชาติ
international	ระหว่างประเทศ
intravenous drug	ยาฉีด
keep up with	เตรียมรับมือ
last resort	ที่พึ่งสุดท้าย
more and more	มากยิ่งขึ้น
motorcycle	รถจักรยานยนต์
net income	รายได้สุทธิ
on behalf of	ในนามของ
on the other hand	ในอีกกรณีหนึ่ง
oral drug	ยากิน
outside the Kingdom	นอกราชอาณาจักร
outside the scope of	นอกขอบเขต
person in authority	ผู้มีอำนาจตามกฎหมาย
political economy	เศรษฐศาสตร์การเมือง
political ideology	อุดมการณ์ทางการเมือง
political institution	สถาบันทางการเมือง
political liberty	เสรีภาพทางการเมือง
political science	รัฐศาสตร์
quote	อ้างคำพูด
recover damage	เรียกค่าเสียหาย
root	รากศัพท์
seriously injured	บาดเจ็บสาหัส
sleeping pill	ยานอนหลับ
state agency	หน่วยงานรัฐ
vanishing cream	ยาทา
piercing	คมเข้ม
remain conscious	ครองสติ
single family	ครอบครัวเดี่ยว
be crowded with	คราคร่ำ
luxury	ความโก้หรู
closeness	ความใกล้ชิด
strength	ความเข้มแข็ง
fame	ความเด่นดัง
implication	ความนัย
possibility	ความเป็นไป
sufficiency	ความพอดี
simplicity	ความเรียบง่าย
importance	ความสำคัญ
gentleness	ความสุภาพ
variety	ความหลากหลาย
sweetness	ความหวาน
exploitation	ความเห็นแก่ได้
selfishness	ความเห็นแก่ตัว
difference	ความเหลื่อมล้ำ
warmth	ความอบอุ่น
warmth	ความอบอุ่น
weakness	ความอ่อนแอ
weakness	ความอ่อนแอ
telephone bill	ค่าโทรศัพท์
electricity bill	ค่าไฟฟ้า
excuse	คำขอโทษ
thank	คำขอบคุณ
answer	คำขานรับ
rumor	คำครหา
income tax	ภาษีเงินได้
local maintenance tax	ภาษีบำรุงท้องที่
death tax	ภาษีมรดก
value added tax	ภาษีมูลค่าเพิ่ม
income tax	ภาษีรายได้
property tax	ภาษีโรงเรือนและที่ดิน
tariff	ภาษีศุลกากร
light	ภาส
sun	ภาสกร
speaking	ภาสน์
begged food	ภิกขา
begging for  food	ภิกขา
begging of food	ภิกขาจาร
begged food	ภิกขาหาร
Buddhist monk	ภิกขุ
female Buddhist monk	ภิกขุนี
begging of food	ภิกษา
begged food	ภิกษา
begged food	ภิกษาหาร
Buddhist monk	ภิกษุสงฆ์
more and more	ภิญโญ
higher excellence	ภิญโญภาพ
wall	ภิตติ
destroy	ภินท์
act of breaking or destroying	ภินทนาการ
dreadful	ภีม
cowardly	ภีรุกชาติ
bee	ภุมระ
coral	ภุมรัตน์
bee	ภุมรา
bee	ภุมริน
bee	ภุมรี
bee	ภุมเรศ
Phuket	ภูเก็ต
iceberg	ภูเขาน้ำแข็ง
volcano	ภูเขาไฟ
like a mountain	ภูเขาเลากา
earth	ภูดล
spirit	ภูต
Siva	ภูตบดี
ghost	ภูตผีปิศาจ
taboo	คำต้องห้าม
warning word	คำตักเตือน
full word	คำเต็ม
complaint	คำร้องเรียน
obscene word	คำลามก
request	คำวิงวอน
contempt	คำสบประมาท
financial budget	งบการเงิน
annual government statement of expenditure	งบประมาณแผ่นดิน
general affairs	งานธุรการ
exhibition	งานนิทรรศการ
sculpture	งานประติมากรรม
poetry	งานประพันธ์
craft	งานฝีมือ
auspicious ceremony	งานมงคล
art work	งานศิลปกรรม
teaching task	งานสอน
voluntaries	งานอาสาสมัคร
graceful	งามสง่า
take  notes	จดบันทึก
television set	จอรับภาพ
store	จัดเก็บ
levy	จัดเก็บ
distribute	จัดจำหน่าย
organize	จัดระเบียบ
watch	จับจ้อง
impress	จับอกจับใจ
from this moment	จากนี้
employ	จ้างงาน
good point	จุดดี
certain session	ช่วงใดช่วงหนึ่ง
span of age	ช่วงอายุ
persuade	ชักจูงใจ
subordinate	ชั้นผู้น้อย
Let it be!	ช่างมันเถอะ
past life	ชาติปางก่อน
powerful country	ชาติมหาอำนาจ
rustic	ชาวชนบท
clear work	ชำระสะสาง
apron	ชุดกันเปื้อน
be impressed with	ซึ้งใจ
embed one's fame	ซึมลึก
be stupid	ซื่อบื้อ
buy some time	ซื้อเวลา
buy votes	ซื้อเสียง
consequently	ด้วยเหตุฉะนี้
fresh flower	ดอกไม้สด
dry flower	ดอกไม้แห้ง
devalue	ด้อยค่า
have no chance	ด้อยโอกาส
expect	ดังใจ
adapt	ดัดแปลงแก้ไข
scold	ด่าว่า
take a position of	ดำรงตำแหน่ง
late night	ดึกสงัด
ceaselessly	ดุ๊กดิ๊ก
furiously	ดุเด็ดเผ็ดมัน
furiously	ดุเดือดเลือดพล่าน
watch television	ดูโทรทัศน์
take care of	ดูแลเอาใจใส่
confess	ตกกระไดพลอยโจน
be in trouble	ตกที่นั่งลำบาก
sink	ตกน้ำ
derail	ตกราง
direct to the point	ตรงจุด
as long as	ตราบใด
world market	ตลาดโลก
allege	ตั้งข้อหา
deforest	ตัดไม้ทำลายป่า
life-size	ตัวจริง
on ground player	ตัวจริง
successor	ตัวตายตัวแทน
hindrance	ตัวถ่วง
author	คนเขียน
department store	ดีพาร์ทเมนต์สโตร์
beginning of month	ต้นเดือน
soup	ต้มจืด
pose a question	ตั้งคำถาม
establish oneself	ตั้งเนื้อตั้งตัว
prepare	ตั้งเนื้อตั้งตัว
set a standard	ตั้งมาตรฐาน
dry clothes in the sun	ตากผ้า
die en mass	ตายหมู่
square wah	ตารางวา
creator	ตำรับ
text	ตำรับ
ask for information	ติดต่อสอบถาม
interpret	ตีความหมาย
appraise	ตีค่า
turn around	ตีโค้ง
improve	ตีตื้น
high-rise building	ตึกสูง
file cabinet	ตู้เก็บเอกสาร
Automatic Teller Machine	ตู้เอทีเอ็ม
disrespect someone	ถอนหงอก
be modest	ถ่อมตน
idiomatic wording	ถ้อยคำสำนวน
strike	ถั่งโถม
embers	ถ่านไฟ
charcoal	ถ่านไม้
transcribe	ถ่ายเสียง
if	ถ้าหาก
cause death	ถึงแก่ชีวิต
be held to be	ถือได้ว่า
hold oneself to be	ถือตน
touch someone	ถูกเนื้อต้องตัว
be valuable	ทรงคุณค่า
be of good quality	ทรงคุณภาพ
be in a state of	ทรงสภาพ
trust company	ทรัสต์
gold ornament	ทองคำรูปพรรณ
business registration	ทะเบียนการค้า
patient's record	ทะเบียนคนไข้
motor vehicle registration	ทะเบียนรถ
route of descent	ทางลง
secret passageway	ทางลับ
do housework	ทำงานบ้าน
likewise	ทำนองเดียวกับ
golden location	ทำเลทอง
preceding	ที่ผ่านมา
work team	ทีมงาน
unseen place	ที่ลับตา
every aspect	ทุกแง่ทุกมุม
every kind	ทุกชนิด
every side	ทุกฝ่าย
everyone	ทุกราย
sweetened condensed milk	นมข้นหวาน
UHT-treated milk	นมยูเอชที
