english	thai	paiboon
abovementioned	ดังกล่าวข้างต้น	daŋ-glàao-kâaŋ-dtôn
abstention	การงดออกเสียง	gaan-ngòt-ɔ̀ɔk-sǐaŋ
according to law	ตามกฎหมาย	dtaam-gòt-măay
advanced technologies	เทคโนโลยีสมัยใหม่	tek-no-lo-yii-sà-mai-yài
agenda	ระเบียบวาระการประชุม	rá-bia̍p-waa-rá-gaan-bprà-chum
testosterone	ฮอร์โมนเพศชาย	hɔɔ-mon-pêt-chaai
Asia	เอเชีย	ee-chia
Asia	เอเชีย	ee-chia
Asian	อาเชี่ยน	aa-chîan
Asian	อาเชี่ยน	aa-chîan
assure	เป็นหลักประกัน	bpen-làk-bpra-gan
at other times	แต่บางที	dɛ̀ɛ-baang-tii
at some point	ในบางกรณี	nai-baŋ-ga-ra-nii
authority and function	อำนาจหน้าที่	am-naaj-nâa-tîi
automatic transmission car	รถยนต์เกียร์อัตโนมัติ	rót-yon-gia-àt-no-mát-dti
bad faith	เจตนาไม่บริสุทธิ์	je-dtà-naa-mai-bɔ-ri-sùt
bar code	บาร์โค้ด	baa-kóot
biotechnology	ไบโอเทคโนโลยี	bai-o-tek-no-lo-yii
branch office	สาขาสำนักงาน	sǎa-kǎa-sǎm-nàk-ngaan
Buddhist principles	หลักพระพุทธศาสนา	làk-prá-pút-tá-sàat-sǎa-naa
case of necessity	กรณีจำเป็น	go-ra-nii-jam-bpen
confession	คำรับสารภาพ	kam-ráp-sǎa-ra-phaap
draft contract	ร่างสัญญา	ráaŋ-san-yaa
E-Commerce	อี-คอมเมิร์ช	ii-kom-məə̂ch
fill teeth	อุดฟัน	ut-fan
final judgment	คำพิพากษาถึงที่สุด	kam-pi-paa-ksa-tʉ̌ng-tʰîi-sùt
for the benefit of	เพื่อประโยชน์ของ	phʉ̂a-bprà-yoo-chon-kɔɔŋ
forfeiture of property	ริบทรัพย์สิน	rip-sàp-sin
fundamental rights and freedoms	สิทธิและเสรีภาพขั้นพื้นฐาน	sìt-tí-lɛ̂ɛ-sə-rii-pâap-kân
globalization	โลกาภิวัตน์	loo-gaa-pí-wàt
guard the rights	คุ้มครองสิทธิ์	khúm-khɔɔŋ-sìt
honest intention	เจตนาบริสุทธิ์	je-dtà-naa-bɔ-rí-sùt
individual	รายบุคคล	raai-buk-kon
international	ระหว่างชาติ	rá-wàang-chàat
international	ระหว่างประเทศ	rá-wàaŋ-bpra-dtèet
intravenous drug	ยาฉีด	yaa-chìid
keep up with	เตรียมรับมือ	dtri-iam-ráp-mʉʉ
last resort	ที่พึ่งสุดท้าย	tîi-pʉ̂ng-sùd-táai
more and more	มากยิ่งขึ้น	mâak-yìŋ-kʉ̂n
motorcycle	รถจักรยานยนต์	rót-jak-ra-yan-yon
net income	รายได้สุทธิ	raai-dâi-sùt-ti
on behalf of	ในนามของ	nai-naam-kɔɔng
